nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,abandono,indice_evasao,evasao_cat
7,7,0,0,0,0,2,0.0,1,111.0,1,0,1,0,52,20,19,1,0,8,15,0,0,7.0,média
42,42,0,0,0,0,0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
6,6,0,0,0,0,0,0.0,1,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
27,11,0,0,0,0,0,27.0,3,2.3571,3,0,0,0,0,0,0,0,0,0,0,6,0,6.0,média
255,20,0,0,0,0,5,235.0,4,0.9873,4,0,3,0,175,109,94,8,5,3,63,0,0,6.0,média
41,17,0,0,0,0,0,24.0,2,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
15,1,0,0,0,0,2,18.0,6,15.3158,6,4,2,22,43,60,47,9,1,13,50,0,0,6.0,média
48,1,0,0,0,0,2,47.0,29,16.0,29,6,7,26,112,58,52,2,1,16,47,0,0,7.0,média
360,265,0,1,3,0,6,342.0,48,11.9213,48,9,16,27,150,18,6,0,0,1,48,0,0,5.0,média
40,13,0,0,0,0,2,27.0,4,3.0357,4,0,1,0,32,58,51,3,1,4,59,0,0,6.0,média
20,14,0,0,0,0,0,6.0,2,1.5714,2,1,0,1,0,0,0,0,0,0,0,0,0,6.0,média
13,13,0,0,0,0,0,0.0,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
44,44,0,0,0,0,0,0.0,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
39,39,0,0,0,0,0,0.0,1,10.0,1,0,1,0,3,0,0,0,0,0,0,0,0,6.0,média
13,13,0,0,0,0,2,0.0,1,57.0,1,0,1,0,46,59,51,4,1,1,62,0,0,7.0,média
179,17,0,0,0,0,0,162.0,3,0.2945,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
35,35,0,0,0,0,2,0.0,1,48.0,1,0,1,0,35,61,52,5,1,1,62,0,0,6.0,média
15,15,0,0,0,0,0,0.0,1,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
58,18,0,0,0,0,0,40.0,3,0.6341,3,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
328,328,0,0,0,0,0,0.0,1,16.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,alta
6,2,0,0,0,0,2,4.0,4,31.0,4,1,1,2,92,52,30,17,0,2,61,0,0,6.0,média
15,13,0,0,0,0,3,2.0,3,34.0,3,1,3,1,70,58,51,4,1,1,62,0,0,6.0,média
11,3,0,0,0,0,2,8.0,6,13.7778,6,1,2,2,64,58,45,9,1,2,61,0,0,6.0,média
7,3,0,0,0,0,2,4.0,2,20.6,2,0,1,0,68,60,49,7,1,2,61,0,0,6.0,média
10,10,0,0,0,0,0,0.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,média
47,47,0,0,0,0,0,0.0,1,10.0,1,0,1,0,3,0,0,0,0,0,0,0,0,6.0,média
