nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
21.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,2.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.9090909090909092,0.0,0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0
12.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,5.3333,0.0,1.0,0.0,48.0,59.0,39.0,18.0,0.0,1.0,62.0,0.0,0,0.6610169491525424,0.0,1.0909090909090908,0.0,0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0
26.0,26.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.7142857142857144,0.0,0
19.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,28.0,0.0,2.0,0.0,31.0,39.0,1.0,0.0,0.0,1.0,62.0,0.0,0,0.02564102564102564,0.0,19.0,0.0,0
15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,15.0,0.0,0
12.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,9.0769,1.0,2.0,11.0,49.0,58.0,40.0,16.0,0.0,2.0,61.0,0.0,0,0.6896551724137931,0.0,1.0,0.0,0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0
332.0,266.0,0.0,1.0,0.0,0.0,4.0,66.0,13.0,6.3731,3.0,4.0,13.0,67.0,18.0,4.0,0.0,0.0,1.0,2.0,0.0,0,0.2222222222222222,0.0,5.03030303030303,0.0,1
220.0,12.0,0.0,12.0,0.0,0.0,0.0,208.0,3.0,0.1866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0,0.0,0.0,1.0576923076923077,0.0,0
11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,0.0,0
186.0,7.0,0.0,0.0,3.0,0.0,17.0,179.0,44.0,12.4889,20.0,21.0,123.0,384.0,115.0,89.0,17.0,2.0,28.0,58.0,0.0,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
383.0,21.0,11.0,27.0,2.0,0.0,27.0,362.0,55.0,5.719,12.0,37.0,31.0,837.0,342.0,290.0,21.0,9.0,50.0,141.0,0.0,0,0.847953216374269,0.03636363636363636,1.058011049723757,0.0,0
47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
58.0,18.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.6341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.45,0.0,0
23.0,8.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,5.9375,1.0,2.0,1.0,44.0,59.0,50.0,5.0,1.0,3.0,60.0,0.0,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,0.0,0
23.0,8.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,5.9375,1.0,2.0,1.0,44.0,59.0,50.0,5.0,1.0,3.0,60.0,0.0,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
