nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
6,0,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,6.0,2,0.8571,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,1.0,0.0,0
39,39,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,10.0,29.834703448275864,56.718513793103455,0,1,0,3,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,39.0,0.0,0
20,5,0,0,0,0,2,1033.5,1033.5,90.46846846800001,15.0,7,11.75,52.34982,72.0426,1,2,1,43,58,40,16,0,1.0,1.6667,1.0,5,58,1.0,0,6.7143,13.73336,0,0.6896551724137931,0.0,1.3333333333333333,0.0,0
20,20,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,7.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,20.0,0.0,0
188,188,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,20.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,188.0,0.0,0
6,2,0,0,0,0,2,14695.0,14695.0,78.127950314,4.0,4,31.0,24.4444,51.0909,1,1,2,92,52,30,17,0,0.92,1.0,1.0,2,61,0.9,0,6.7143,13.73336,0,0.5769230769230769,0.0,1.5,0.0,0
255,20,0,0,0,0,5,20472.2,25557.75,87.81987578,235.0,4,0.9873,24.4444,51.0909,0,3,0,175,109,94,8,5,0.90426087,0.0128,0.0085,3,63,0.919388889,0,6.7143,13.73336,0,0.8623853211009175,0.0,1.0851063829787233,0.0,0
305,305,0,0,0,0,1,2629.0,2629.0,90.468468468,273.0,4,0.4051,52.86766,38.98888,0,1,0,86,37,14,10,0,0.7674375,0.4615,0.1538,2,43,0.689916667,0,6.7143,13.73336,1,0.3783783783783784,0.0,1.1172161172161172,0.0,0
143,143,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,16.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,143.0,0.0,0
18,18,0,0,0,0,1,18.0,18.0,42.683657519200004,0.0,1,58.0,30.302099999999996,99.68402,0,1,0,34,45,1,0,0,1.0,1.2784,0.2981,1,62,1.0,0,6.7143,10.26668,0,0.022222222222222223,0.0,18.0,0.0,0
