nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
220,12,0,12,0,0,0,0.0,0.0,0.0,208.0,3,0.1866,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,90,0.0,0,0.0,0.0,0,0.0,0.0,1.0576923076923077,0.0,0
11,11,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,11.0,0.0,0
186,7,0,0,3,0,17,15294.0588,170.0,71.66666667,179.0,44,12.4889,24.4444,51.0909,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.922023821,0,0.0,0.0,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
383,21,11,27,2,0,27,134816.2593,363847.7,80.86808511,362.0,55,5.719,15.1515,37.7455,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.429848393,0,0.0,0.0,0,0.847953216374269,0.03636363636363636,1.058011049723757,0.0,0
47,47,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
58,18,0,0,0,0,0,0.0,0.0,0.0,40.0,3,0.6341,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.45,0.0,0
23,8,0,0,0,0,2,798.5,798.5,0.0,15.0,2,5.9375,0.0,0.0,1,2,1,44,59,50,5,1,0.964285714,0.0,0.0,3,60,0.958333333,0,0.0,0.0,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
47,47,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10.0,0.0,0.0,0,1,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
10,10,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,10.0,0.0,0
23,8,0,0,0,0,2,798.5,798.5,0.0,15.0,2,5.9375,0.0,0.0,1,2,1,44,59,50,5,1,0.964285714,0.0,0.0,3,60,0.958333333,0,0.0,0.0,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
