nr_dias_desde_primeiro_acesso, nr_dias_desde_ultimo_acesso, nr_atividades_sinalizadas, nr_atividades_mapeadas, nr_discussoes_forum_postadas, nr_questionarios_abandonados, nr_questionarios_finalizados, vl_medio_tempo_questionario, vl_medio_tempo_questionario_avaliado, vl_desempenho_questionario, nr_intervalos_uso, nr_dias_uso, vl_medio_atividade_diaria, vl_engajamento_usuario_por_intervalo, vl_engajamento_usuario_intradia, nr_dias_engajamento_discussao, nr_dias_engajamento_questionario, nr_engajamento_discussao, nr_engajamento_questionario, nr_questoes_respondidas, nr_questoes_corretas, nr_questoes_erradas, nr_questoes_parciais, vl_desempenho_usuario, vl_media_questoes_por_dia, vl_engajamento_notas, nr_itens_avaliados, nr_itens_nao_respondidos, vl_media_notas, nr_submissoes_codigo, vl_media_submissoes_codigo, vl_submissoes_por_dias_ativos, nr_abandono, vl_taxa_acerto_questoes, vl_forum_por_dia   , vl_dias_entre_acessos, vl_submissoes_por_dia, nr_periodo_ferias
                           10,                           2,                         0,                      0,                            0,                            0,                            3,                   1528.6667,                            1528.6667,                 0.0       ,               8.0,           6,                   27.5556,                               0.0   ,                          0.0   ,                             2,                                1,                       22,                          62,                      59,                   41,                  15,                    1,           0.986014   ,                    0.8571,               0.5714,                  6,                       57,    0.9848485  ,                    0,                        0.0,                           0.0,           0,    0.6949152542372882  , 0.0                ,    1.25              ,                   0.0,                 0
                           12,                           0,                         0,                      0,                            0,                            0,                            1,                    235.0   ,                             235.0   ,                 0.0       ,              12.0,           3,                    4.6154,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          42,                      52,                    1,                   0,                    0,           1.0        ,                    0.0   ,               0.0   ,                  1,                       62,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.019230769230769232, 0.0                ,    1.0               ,                   0.0,                 0
                           35,                          35,                         0,                      0,                            0,                            0,                            2,                    776.5   ,                             776.5   ,                 0.0       ,               0.0,           1,                   48.0   ,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          35,                      61,                   52,                   5,                    1,           1.0        ,                    0.0   ,               0.0   ,                  1,                       62,    1.0        ,                    0,                        0.0,                           0.0,           1,    0.8524590163934426  , 0.0                ,   35.0               ,                   0.0,                 0
                          220,                          12,                         0,                     12,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,             208.0,           3,                    0.1866,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                       90,    0.0        ,                    0,                        0.0,                           0.0,           0,    0.0                 , 0.0                ,    1.0576923076923077,                   0.0,                 0
                          381,                         269,                         5,                     14,                            3,                            2,                           26,                  40820.1923,                          131692.375 ,                80.80722892,             283.0,          55,                    7.2289,                              19.3662,                         37.3273,                             8,                               32,                       25,                         951,                     345,                  276,                   8,                    0,           0.532771454,                    0.3469,               0.2245,                 34,                      125,    0.588759814,                    0,                        0.0,                           0.0,           0,    0.8                 , 0.05454545454545454,    1.3462897526501767,                   0.0,                 1
                           42,                           0,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,              42.0,          13,                    1.907 ,                              30.2326,                          6.3077,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           0,    0.0                 , 0.0                ,    1.0               ,                   0.0,                 0
                           46,                          34,                         0,                      0,                            0,                            0,                            2,                 340825.0   ,                          340825.0   ,                 0.0       ,              12.0,           4,                    6.6923,                               0.0   ,                          0.0   ,                             1,                                3,                        1,                          49,                      61,                   52,                   6,                    0,           1.0        ,                    0.0   ,               0.0   ,                  1,                       62,    1.0        ,                    0,                        0.0,                           0.0,           1,    0.8524590163934426  , 0.0                ,    3.8333333333333335,                   0.0,                 0
                          360,                         265,                         0,                      1,                            3,                            0,                            6,                     72.0   ,                               0.0   ,                 0.0       ,             342.0,          48,                   11.9213,                              13.9942,                         85.1875,                             9,                               16,                       27,                         150,                      18,                    6,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  1,                       48,    0.0        ,                    0,                        0.0,                           0.0,           0,    0.3333333333333333  , 0.0625             ,    1.0526315789473684,                   0.0,                 1
                           12,                           5,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               7.0,           2,                    3.25  ,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          14,                       0,                    1,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           0,    1.0                 , 0.0                ,    1.7142857142857142,                   0.0,                 0
                           12,                           0,                         0,                      0,                            0,                            0,                            2,                 131278.5   ,                          131278.5   ,                 0.0       ,              12.0,           3,                    9.0769,                               0.0   ,                          0.0   ,                             1,                                2,                       11,                          49,                      58,                   40,                  16,                    0,           1.0        ,                    0.6667,               0.6667,                  2,                       61,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.6896551724137931  , 0.0                ,    1.0               ,                   0.0,                 0
