,ds_cidade_usuario,ts_primeiro_acesso,ts_ultimo_acesso,nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos
409,Holambra,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.375,80.80722892,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.588759814,0,,
70,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
209,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
63,,1690808687,1694466059,42,0,0,0,0,0,0,,,,42.0,13,1.907,30.2326,6.3077,13,0,0,0,0,0,0,0,0,,,,0,0,,0,,
384,Campinas,0,0,19612,19612,0,0,0,0,0,,,,0.0,1,1.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
93,,1690467641,1691542816,46,34,0,0,0,0,2,340825.0,340825.0,,12.0,4,6.6923,,,4,1,3,1,49,61,52,6,0,1.0,,,1,62,1.0,0,,
485,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
185,Curitiba,1663352727,1671533068,360,265,0,1,3,0,6,72.0,,,342.0,48,11.9213,13.9942,85.1875,48,9,16,27,150,18,6,0,0,0.0,,,1,48,0.0,0,,
33,,1693420067,1694043401,12,5,0,0,0,0,0,,,,7.0,2,3.25,,,2,0,1,0,14,0,1,0,0,,,,0,0,,0,,
77,,1693428019,1694470591,12,0,0,0,0,0,2,131278.5,131278.5,,12.0,3,9.0769,,,3,1,2,11,49,58,40,16,0,1.0,0.6667,0.6667,2,61,1.0,0,,
0,Campinas,1690401218,1690401376,47,47,0,0,0,0,0,,,,0.0,1,10.0,,,1,0,1,0,3,0,0,0,0,,,,0,0,,0,,
11,Campinas,1694047451,1694051893,5,5,0,0,0,0,1,765.0,765.0,,2.0,2,25.3333,,,2,0,1,0,48,19,1,0,0,1.0,,,1,62,1.0,0,,
415,Campinas,1693183407,1694374999,15,1,0,0,0,0,2,902.0,902.0,,18.0,6,15.3158,,,6,4,2,22,43,60,47,9,1,0.984006741,0.9286,0.3571,13,50,0.983391615,0,,
22,Holambra,1661542254,1667580227,381,311,0,14,0,0,7,162.8571,,,300.0,16,1.2027,5.3156,22.625,16,0,9,0,152,49,35,0,0,0.636363636,0.1964,0.1607,11,148,0.636363636,0,,
72,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
182,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
131,Campinas,1693102380,1693107145,16,15,0,0,0,0,2,2054.0,2054.0,,1.0,2,34.5,,,2,1,2,1,49,56,44,9,1,1.0,,,1,62,1.0,0,,
410,brasilia,1661376457,1692652968,383,21,11,27,2,0,27,134816.2593,363847.7,80.86808511,362.0,55,5.719,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.429848393,0,,
193,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
55,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
148,,1693436751,1694389323,12,1,0,0,0,0,2,1840.5,1840.5,,11.0,4,9.1667,,,4,1,1,1,51,59,45,10,1,0.928571429,0.75,0.75,3,60,0.916666667,0,,
18,Campinas,1692391113,1692391646,24,24,0,0,0,0,0,,,,0.0,1,6.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
204,Campinas,0,0,19612,19612,0,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,,0,,
